Sales,date,region
1638,06-02-2018,north
1647,06-02-2018,south
1731,06-02-2018,east
1557,06-02-2018,west
1587,07-02-2018,north
1698,07-02-2018,south
1542,07-02-2018,east
1635,07-02-2018,west
1602,08-02-2018,north
1536,08-02-2018,south
1503,08-02-2018,east
1701,08-02-2018,west
1758,09-02-2018,north
1662,09-02-2018,south
1782,09-02-2018,east
1515,09-02-2018,west
1662,10-02-2018,north
1557,10-02-2018,south
1650,10-02-2018,east
1674,10-02-2018,west
1554,11-02-2018,north
1587,11-02-2018,south
1563,11-02-2018,east
1764,11-02-2018,west
1758,12-02-2018,north
1608,12-02-2018,south
1569,12-02-2018,east
1653,12-02-2018,west
1572,13-02-2018,north
1716,13-02-2018,south
1773,13-02-2018,east
1725,13-02-2018,west
1767,14-02-2018,north
1710,14-02-2018,south
1698,14-02-2018,east
1512,14-02-2018,west
1746,15-02-2018,north
1734,15-02-2018,south
1524,15-02-2018,east
1614,15-02-2018,west
1578,16-02-2018,north
1782,16-02-2018,south
1527,16-02-2018,east
1752,16-02-2018,west
1785,17-02-2018,north
1689,17-02-2018,south
1641,17-02-2018,east
1575,17-02-2018,west
1644,18-02-2018,north
1674,18-02-2018,south
1551,18-02-2018,east
1737,18-02-2018,west
1563,19-02-2018,north
1647,19-02-2018,south
1605,19-02-2018,east
1539,19-02-2018,west
1698,20-02-2018,north
1575,20-02-2018,south
1500,20-02-2018,east
1551,20-02-2018,west
1737,21-02-2018,north
1542,21-02-2018,south
1665,21-02-2018,east
1548,21-02-2018,west
1635,22-02-2018,north
1632,22-02-2018,south
1668,22-02-2018,east
1764,22-02-2018,west
1533,23-02-2018,north
1563,23-02-2018,south
1641,23-02-2018,east
1773,23-02-2018,west
1629,24-02-2018,north
1698,24-02-2018,south
1725,24-02-2018,east
1722,24-02-2018,west
1596,25-02-2018,north
1710,25-02-2018,south
1635,25-02-2018,east
1659,25-02-2018,west
1686,26-02-2018,north
1533,26-02-2018,south
1524,26-02-2018,east
1530,26-02-2018,west
1665,27-02-2018,north
1695,27-02-2018,south
1578,27-02-2018,east
1620,27-02-2018,west
1767,28-02-2018,north
1593,28-02-2018,south
1743,28-02-2018,east
1557,28-02-2018,west
1668,01-03-2018,north
1782,01-03-2018,south
1527,01-03-2018,east
1668,01-03-2018,west
1635,02-03-2018,north
1569,02-03-2018,south
1746,02-03-2018,east
1773,02-03-2018,west
1539,03-03-2018,north
1500,03-03-2018,south
1569,03-03-2018,east
1557,03-03-2018,west
1773,04-03-2018,north
1644,04-03-2018,south
1614,04-03-2018,east
1674,04-03-2018,west
1533,05-03-2018,north
1653,05-03-2018,south
1557,05-03-2018,east
1746,05-03-2018,west
1719,06-03-2018,north
1719,06-03-2018,south
1659,06-03-2018,east
1800,06-03-2018,west
1581,07-03-2018,north
1602,07-03-2018,south
1608,07-03-2018,east
1650,07-03-2018,west
1611,08-03-2018,north
1530,08-03-2018,south
1698,08-03-2018,east
1668,08-03-2018,west
1746,09-03-2018,north
1524,09-03-2018,south
1506,09-03-2018,east
1704,09-03-2018,west
1788,10-03-2018,north
1719,10-03-2018,south
1746,10-03-2018,east
1584,10-03-2018,west
1692,11-03-2018,north
1635,11-03-2018,south
1608,11-03-2018,east
1590,11-03-2018,west
1599,12-03-2018,north
1518,12-03-2018,south
1602,12-03-2018,east
1659,12-03-2018,west
1644,13-03-2018,north
1611,13-03-2018,south
1554,13-03-2018,east
1515,13-03-2018,west
1515,14-03-2018,north
1632,14-03-2018,south
1512,14-03-2018,east
1776,14-03-2018,west
1677,15-03-2018,north
1503,15-03-2018,south
1605,15-03-2018,east
1647,15-03-2018,west
1506,16-03-2018,north
1737,16-03-2018,south
1590,16-03-2018,east
1767,16-03-2018,west
1593,17-03-2018,north
1614,17-03-2018,south
